cycle: 0; nbPreys: 200; minEnergyPreys: 0.0011850425291732858; maxSizePreys: 0.998146715269865; nbPredators: 20; minEnergyPredators: 0.029673166542934948; maxSizePredators: 0.9563691278121216
cycle: 1; nbPreys: 191; minEnergyPreys: 0.05118504252917329; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.26157940302062765; maxSizePredators: 1.0
cycle: 2; nbPreys: 183; minEnergyPreys: 0.10118504252917329; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.43941334919872554; maxSizePredators: 1.0
cycle: 3; nbPreys: 172; minEnergyPreys: 0.1511850425291733; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5465041441800684; maxSizePredators: 1.0
cycle: 4; nbPreys: 164; minEnergyPreys: 0.2011850425291733; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5265041441800684; maxSizePredators: 1.0
cycle: 5; nbPreys: 156; minEnergyPreys: 0.2511850425291733; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.5065041441800684; maxSizePredators: 1.0
cycle: 6; nbPreys: 151; minEnergyPreys: 0.30118504252917333; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.9199999999999999; maxSizePredators: 1.0
cycle: 7; nbPreys: 149; minEnergyPreys: 0.237407700987473; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.8999999999999999; maxSizePredators: 1.0
cycle: 8; nbPreys: 144; minEnergyPreys: 0.28740770098747304; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.3; maxSizePredators: 1.0
cycle: 9; nbPreys: 140; minEnergyPreys: 0.19772406354191138; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.27999999999999997; maxSizePredators: 1.0
cycle: 10; nbPreys: 134; minEnergyPreys: 0.15458680863995056; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.25999999999999995; maxSizePredators: 1.0
cycle: 11; nbPreys: 129; minEnergyPreys: 0.114390730208578; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.23999999999999996; maxSizePredators: 1.0
cycle: 12; nbPreys: 128; minEnergyPreys: 0.164390730208578; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.21999999999999997; maxSizePredators: 1.0
cycle: 13; nbPreys: 122; minEnergyPreys: 0.21439073020857802; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.19999999999999998; maxSizePredators: 1.0
cycle: 14; nbPreys: 119; minEnergyPreys: 0.17713582824779378; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.18; maxSizePredators: 1.0
cycle: 15; nbPreys: 116; minEnergyPreys: 0.2271358282477938; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.16; maxSizePredators: 1.0
cycle: 16; nbPreys: 111; minEnergyPreys: 0.18988092628700948; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.14; maxSizePredators: 1.0
cycle: 17; nbPreys: 109; minEnergyPreys: 0.1555672007968134; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.12000000000000001; maxSizePredators: 1.0
cycle: 18; nbPreys: 105; minEnergyPreys: 0.12125347530661733; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1; maxSizePredators: 1.0
cycle: 19; nbPreys: 99; minEnergyPreys: 0.43333333333333335; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.08; maxSizePredators: 1.0
cycle: 20; nbPreys: 94; minEnergyPreys: 0.4833333333333334; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.06; maxSizePredators: 1.0
cycle: 21; nbPreys: 94; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.039999999999999994; maxSizePredators: 1.0
cycle: 22; nbPreys: 93; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.019999999999999993; maxSizePredators: 1.0
cycle: 23; nbPreys: 93; minEnergyPreys: 0.30000000000000004; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.5999999999999996; maxSizePredators: 0.98
cycle: 24; nbPreys: 92; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.5799999999999996; maxSizePredators: 1.0
cycle: 25; nbPreys: 86; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.3599999999999999; maxSizePredators: 1.0
cycle: 26; nbPreys: 82; minEnergyPreys: 0.30000000000000004; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.33999999999999986; maxSizePredators: 1.0
cycle: 27; nbPreys: 84; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.31999999999999984; maxSizePredators: 1.0
cycle: 28; nbPreys: 84; minEnergyPreys: 0.30000000000000004; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.2999999999999998; maxSizePredators: 1.0
cycle: 29; nbPreys: 81; minEnergyPreys: 0.3500000000000001; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.2799999999999998; maxSizePredators: 1.0
cycle: 30; nbPreys: 76; minEnergyPreys: 0.40000000000000013; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.2466666666666666; maxSizePredators: 1.0
cycle: 31; nbPreys: 74; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.2266666666666666; maxSizePredators: 1.0
cycle: 32; nbPreys: 67; minEnergyPreys: 0.22843137254901957; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.2066666666666666; maxSizePredators: 1.0
cycle: 33; nbPreys: 72; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.18666666666666662; maxSizePredators: 1.0
cycle: 34; nbPreys: 71; minEnergyPreys: 0.17083333333333334; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.16666666666666663; maxSizePredators: 1.0
cycle: 35; nbPreys: 76; minEnergyPreys: 0.22083333333333333; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.14666666666666664; maxSizePredators: 1.0
cycle: 36; nbPreys: 72; minEnergyPreys: 0.27083333333333337; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.12666666666666665; maxSizePredators: 1.0
cycle: 37; nbPreys: 70; minEnergyPreys: 0.26509803921568775; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.10666666666666665; maxSizePredators: 1.0
cycle: 38; nbPreys: 69; minEnergyPreys: 0.2513725490196093; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.08666666666666664; maxSizePredators: 1.0
cycle: 39; nbPreys: 66; minEnergyPreys: 0.24156862745098187; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.06666666666666664; maxSizePredators: 1.0
cycle: 40; nbPreys: 63; minEnergyPreys: 0.23980392156862892; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.046666666666666634; maxSizePredators: 1.0
